"Palavra,Classificacao"
"amplificador, verbo"
"amplificar, verbo"
"amplitude, substantivo"
"amplo, substantivo"
"ampola, substantivo"
"ampulheta, substantivo"
"amputar, verbo"
"amuar, verbo"
"amuleto, substantivo"
"amura, substantivo"
"amuse, substantivo"
"amusement, substantivo"
"amusia, substantivo"
"ana, substantivo"
"anabatista, substantivo"
"anabiose, substantivo"
"anabolismo, substantivo"
"anabolizante, substantivo"
"anacamptico, substantivo"
"anacoluto, substantivo"
"anaconda, substantivo"
"anacoreta, substantivo"
"anacronico, substantivo"
"anacruse, substantivo"
"anadiplose, substantivo"
"anaerobico, substantivo"
"anafado, substantivo"
"anafase, substantivo"
"anafilatico, substantivo"
"anafilatoxina, substantivo"
"anafilaxia, substantivo"
"anafora, substantivo"
"anageno, substantivo"
"anagoge, substantivo"
"anagoria, substantivo"
"anagrama, substantivo"
"anagua, substantivo"
"anais, substantivo"
"anakim, substantivo"
"anal, substantivo"
"analecta, substantivo"
"analfabeto, substantivo"
"analgesico, substantivo"
"analise, substantivo"
"analista, substantivo"
"analogia, substantivo"
"analogico, substantivo"
"analogo, substantivo"
"anamnese, substantivo"
"anamorfose, substantivo"
"ananas, substantivo"
"anancastico, substantivo"
"anao, substantivo"
"anaparental, substantivo"
"anaplerose, substantivo"
"anargiros, substantivo"
"anarquia, substantivo"
"anarquismo, substantivo"
"anasarca, substantivo"
"anastacia, substantivo"
"anastase, substantivo"
"anastatico, substantivo"
"anastomose, substantivo"
"anastrofe, substantivo"
"anatema, substantivo"
"anatocismo, substantivo"
"anatomia, substantivo"
"anaue, substantivo"
"anaxagoras, substantivo"
"anaximandro, substantivo"
"anca, substantivo"
"ancenubio, substantivo"
"ancestral, substantivo"
"anche, substantivo"
"-ancia, substantivo"
"anciao, substantivo"
"ancinho, substantivo"
"ancora, substantivo"
"andaime, substantivo"
"andar, verbo"
"andar a paisana, substantivo"
"andarilho, substantivo"
"anderson, substantivo"
"andorinha, substantivo"
"andragogia, substantivo"
"andrajo, substantivo"
"andrajoso, substantivo"
"andre, substantivo"
"andressa, substantivo"
"andria, substantivo"
"andro-, substantivo"
"androceu, substantivo"
"androgenia, substantivo"
"androgeno., substantivo"
"androgino, substantivo"
"androide, substantivo"
"andromeda., substantivo"
"andropausa, substantivo"
"anecogenico, substantivo"
"anecoico, substantivo"
"anecumeno, substantivo"
"anedonia, substantivo"
"anedota, substantivo"
"anel, substantivo"
